0,1,2,3
14.0,3.0,6.0,0.711864406779661
6.0,18.0,1.0,
1.0,0.0,10.0,
11.0,1.0,3.0,0.7627118644067796
9.0,20.0,0.0,
1.0,0.0,14.0,
14.0,2.0,4.0,0.7627118644067796
6.0,19.0,1.0,
1.0,0.0,12.0,
9.0,2.0,2.0,0.6101694915254238
0.0,12.0,0.0,
12.0,7.0,15.0,
15.0,4.0,5.0,0.6949152542372882
6.0,17.0,3.0,
0.0,0.0,9.0,
